memory.max_usage_in_bytes,own_file,input_1,input_2,chromInfo,own_file_extension,input_1_extension,input_2_extension,chromInfo_extension,dbkey,save_mapping_stats,analysis_type_selector,rg_selector,sam_options_selector
2886856704,2102960,1493950957,0,0,align,fastq,nan,nan,?,False,simple,do_not_set,none
2888630272,2073482,1493950957,0,0,align,fastq,nan,nan,?,False,simple,do_not_set,none
3140173824,2073482,1673676216,0,0,align,fastq,nan,nan,?,False,simple,do_not_set,none
3462443008,2073482,1956817573,0,0,align,fastq,nan,nan,?,False,simple,do_not_set,none
3076284416,2073482,1408250096,0,0,align,fastq,nan,nan,?,False,simple,do_not_set,none
13974884352,91669363,2932128879,2932128879,0,fasta,fastqsanger,fastqsanger,nan,?,False,simple,do_not_set,none
28736409600,0,8214954025,8210790961,0,nan,fastqsanger,fastqsanger,nan,?,False,simple,set_picard,none
23167303680,0,7551919206,7548938984,0,nan,fastqsanger,fastqsanger,nan,?,False,simple,set_picard,none
12661764096,0,758493390,0,0,nan,fastqsanger.gz,nan,nan,hg19,False,simple,do_not_set,none
10843586560,0,773362923,0,0,nan,fastqsanger.gz,nan,nan,hg19,False,simple,do_not_set,none
13442281472,0,715835384,0,0,nan,fastqsanger.gz,nan,nan,hg19,False,simple,do_not_set,none
11584774144,0,827099563,0,0,nan,fastqsanger.gz,nan,nan,hg19,False,simple,do_not_set,none
10572906496,0,938922521,0,0,nan,fastqsanger.gz,nan,nan,hg19,False,simple,do_not_set,none
13633769472,0,873829259,0,0,nan,fastqsanger.gz,nan,nan,hg19,False,simple,do_not_set,none
12968529920,0,758493390,0,0,nan,fastqsanger.gz,nan,nan,hg19,True,simple,do_not_set,none
13894123520,0,773362923,0,0,nan,fastqsanger.gz,nan,nan,hg19,True,simple,do_not_set,none
13540728832,0,715835384,0,0,nan,fastqsanger.gz,nan,nan,hg19,True,simple,do_not_set,none
10523144192,0,827099563,0,0,nan,fastqsanger.gz,nan,nan,hg19,True,simple,do_not_set,none
12699631616,0,938922521,0,0,nan,fastqsanger.gz,nan,nan,hg19,True,simple,do_not_set,none
10528432128,0,873829259,0,0,nan,fastqsanger.gz,nan,nan,hg19,True,simple,do_not_set,none
18381664256,0,2347301925,2347301925,0,nan,fastqsanger,fastqsanger,nan,?,False,simple,do_not_set,none
11919962112,0,1133563226,1133563226,0,nan,fastqsanger,fastqsanger,nan,?,False,simple,do_not_set,none
29852012544,2835510589,7673638287,0,0,fasta,fastqsanger.gz,nan,nan,mm9,False,full,set,none
26451681280,0,15802483750,0,0,nan,fastqsanger,nan,nan,?,True,simple,do_not_set,none
7169359872,0,362,0,0,nan,fasta,nan,nan,?,False,simple,do_not_set,none
6098698240,0,30622341,0,0,nan,fastqsanger,nan,nan,mm9,False,simple,do_not_set,none
17800654848,0,5148118895,0,0,nan,fastqsanger,nan,nan,?,True,simple,do_not_set,none
2695696384,0,394479666,394479666,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
3789963264,0,582514647,582514647,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
6322511872,0,29872452,0,0,nan,fastqsanger,nan,nan,mm9,False,simple,do_not_set,none
19956326400,3151417447,6403768105,0,0,fasta,fastqsanger,nan,nan,?,True,simple,do_not_set,none
18158641152,3151417447,6152958705,0,0,fasta,fastqsanger,nan,nan,?,True,simple,do_not_set,none
3743592448,0,20181290,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
221597696,1987,17813443,0,0,fasta,fastqsanger,nan,nan,?,True,simple,do_not_set,none
225329152,1987,13123932,0,0,fasta,fastqsanger,nan,nan,?,True,simple,do_not_set,none
6922792960,0,362,0,0,nan,fasta,nan,nan,?,False,simple,do_not_set,none
469614592,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
5592059904,0,884316044,884316044,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
268394496,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
471396352,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
5678759936,0,884341362,884341362,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
270368768,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
4788936704,0,768223725,768223725,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
23687696384,4578220,16985567642,0,0,fasta,fastqsanger,nan,nan,?,True,full,do_not_set,none
7277326336,0,22674045,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
3735543808,0,37762387,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
3739783168,0,37635675,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
3736383488,0,37662853,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
7044034560,0,37672063,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
3737219072,0,37758922,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
32212516864,0,23312227115,0,0,nan,fastqsanger,nan,nan,?,True,simple,do_not_set,none
390950912,0,2930582914,0,0,nan,fasta,nan,nan,dm6,True,simple,do_not_set,none
391442432,0,2943157002,0,0,nan,fasta,nan,nan,dm6,True,simple,do_not_set,none
389881856,0,3473364215,0,0,nan,fasta,nan,nan,dm6,True,simple,do_not_set,none
390148096,0,3512838767,0,0,nan,fasta,nan,nan,dm6,True,simple,do_not_set,none
390709248,0,3240000870,0,0,nan,fasta,nan,nan,dm6,True,simple,do_not_set,none
392912896,0,2773648363,0,0,nan,fasta,nan,nan,dm6,True,simple,do_not_set,none
32212512768,0,22024731307,0,0,nan,fastqsanger,nan,nan,?,True,simple,do_not_set,none
16208470016,0,5720001174,0,0,nan,fastqsanger,nan,nan,?,True,simple,do_not_set,none
1010257920,51542283,154822007,154822007,0,fasta,fastqsanger,fastqsanger,nan,?,False,simple,do_not_set,none
471089152,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
5715021824,0,884182411,884182411,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
272367616,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
5563527168,0,884608916,884608916,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
270004224,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
