memory.max_usage_in_bytes,input_2,input_1,history_item,chromInfo,input_format|paired|reverse,input_format|paired|forward,known_splice_gtf,input_format|reads_r,input_format|reads_f,input_format|reads,input_format|reads2,input_format|reads1,adv|known_splice_gtf,input_2_extension,input_1_extension,history_item_extension,chromInfo_extension,input_format|paired|reverse_extension,input_format|paired|forward_extension,known_splice_gtf_extension,input_format|reads_r_extension,input_format|reads_f_extension,input_format|reads_extension,input_format|reads2_extension,input_format|reads1_extension,adv|known_splice_gtf_extension,dbkey,rna_strandness,type,new_summary,summary_file
31893475328,60164272675,60164272675,3165963601,0,0,0,0,0,0,0,0,0,0,fastqsanger.gz,fastqsanger.gz,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,triMan1,nan,paired,false,false
16390680576,0,5583432977,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
21976027136,0,7081558668,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
21400748032,0,6673111181,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
18597498880,0,7269705216,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
17336025088,0,7047593595,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
22678163456,0,7824783760,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
20045238272,0,7677428739,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
21874147328,0,8496114655,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
16086638592,0,5734485569,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
